Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9509300k free), swap 23213284k(9280100k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:31:19.254+0200: 0.279: [GC (Allocation Failure) 2020-09-29T18:31:19.254+0200: 0.279: [ParNew: 545344K->39977K(613440K), 0.0348668 secs] 545344K->39977K(2029056K), 0.0349941 secs] [Times: user=0.22 sys=0.03, real=0.04 secs] 
2020-09-29T18:31:33.085+0200: 14.110: [GC (Allocation Failure) 2020-09-29T18:31:33.085+0200: 14.110: [ParNew: 605267K->49297K(613440K), 0.0205502 secs] 610396K->54425K(2029056K), 0.0206202 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:33.153+0200: 14.178: [GC (Allocation Failure) 2020-09-29T18:31:33.153+0200: 14.178: [ParNew: 594641K->41386K(613440K), 0.0135491 secs] 599769K->46514K(2029056K), 0.0136086 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:33.215+0200: 14.240: [GC (Allocation Failure) 2020-09-29T18:31:33.215+0200: 14.240: [ParNew: 586730K->59766K(613440K), 0.0236708 secs] 591858K->64894K(2029056K), 0.0237529 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:33.287+0200: 14.312: [GC (Allocation Failure) 2020-09-29T18:31:33.287+0200: 14.312: [ParNew: 605110K->68096K(613440K), 0.0243077 secs] 610238K->73555K(2029056K), 0.0243654 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:33.358+0200: 14.383: [GC (Allocation Failure) 2020-09-29T18:31:33.358+0200: 14.383: [ParNew: 613440K->55915K(613440K), 0.0185639 secs] 618899K->61375K(2029056K), 0.0186273 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:33.424+0200: 14.449: [GC (Allocation Failure) 2020-09-29T18:31:33.424+0200: 14.449: [ParNew: 601259K->44018K(613440K), 0.0196073 secs] 606719K->49477K(2029056K), 0.0197019 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:33.494+0200: 14.519: [GC (Allocation Failure) 2020-09-29T18:31:33.494+0200: 14.519: [ParNew: 589362K->40615K(613440K), 0.0153263 secs] 594821K->46074K(2029056K), 0.0153884 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:33.560+0200: 14.585: [GC (Allocation Failure) 2020-09-29T18:31:33.560+0200: 14.585: [ParNew: 585959K->57296K(613440K), 0.0217904 secs] 591418K->62755K(2029056K), 0.0218651 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:33.632+0200: 14.657: [GC (Allocation Failure) 2020-09-29T18:31:33.632+0200: 14.657: [ParNew: 602640K->43947K(613440K), 0.0165011 secs] 608099K->49406K(2029056K), 0.0165651 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:33.696+0200: 14.721: [GC (Allocation Failure) 2020-09-29T18:31:33.696+0200: 14.721: [ParNew: 589291K->58995K(613440K), 0.0191740 secs] 594750K->64454K(2029056K), 0.0192288 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:33.764+0200: 14.789: [GC (Allocation Failure) 2020-09-29T18:31:33.764+0200: 14.789: [ParNew: 604339K->44437K(613440K), 0.0193322 secs] 609798K->49896K(2029056K), 0.0193991 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:33.830+0200: 14.855: [GC (Allocation Failure) 2020-09-29T18:31:33.830+0200: 14.855: [ParNew: 589781K->45356K(613440K), 0.0173957 secs] 595240K->50815K(2029056K), 0.0174664 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:33.899+0200: 14.924: [GC (Allocation Failure) 2020-09-29T18:31:33.899+0200: 14.924: [ParNew: 590700K->42766K(613440K), 0.0171072 secs] 596159K->48225K(2029056K), 0.0171663 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:33.963+0200: 14.988: [GC (Allocation Failure) 2020-09-29T18:31:33.963+0200: 14.988: [ParNew: 588110K->65564K(613440K), 0.0216349 secs] 593569K->71023K(2029056K), 0.0216962 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:34.032+0200: 15.057: [GC (Allocation Failure) 2020-09-29T18:31:34.032+0200: 15.057: [ParNew: 610908K->50659K(613440K), 0.0219195 secs] 616367K->56118K(2029056K), 0.0219751 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:34.101+0200: 15.126: [GC (Allocation Failure) 2020-09-29T18:31:34.101+0200: 15.126: [ParNew: 596003K->45900K(613440K), 0.0154868 secs] 601462K->51359K(2029056K), 0.0155443 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:34.165+0200: 15.190: [GC (Allocation Failure) 2020-09-29T18:31:34.165+0200: 15.190: [ParNew: 591244K->61662K(613440K), 0.0210229 secs] 596703K->67121K(2029056K), 0.0210914 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:34.235+0200: 15.260: [GC (Allocation Failure) 2020-09-29T18:31:34.235+0200: 15.260: [ParNew: 607006K->42133K(613440K), 0.0189792 secs] 612465K->47592K(2029056K), 0.0190543 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:34.302+0200: 15.327: [GC (Allocation Failure) 2020-09-29T18:31:34.302+0200: 15.327: [ParNew: 587477K->42811K(613440K), 0.0184842 secs] 592936K->48270K(2029056K), 0.0185418 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:34.371+0200: 15.396: [GC (Allocation Failure) 2020-09-29T18:31:34.371+0200: 15.396: [ParNew: 588155K->38920K(613440K), 0.0186810 secs] 593614K->44379K(2029056K), 0.0187365 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:34.441+0200: 15.466: [GC (Allocation Failure) 2020-09-29T18:31:34.441+0200: 15.466: [ParNew: 584264K->41504K(613440K), 0.0181117 secs] 589723K->46963K(2029056K), 0.0181720 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:34.509+0200: 15.534: [GC (Allocation Failure) 2020-09-29T18:31:34.509+0200: 15.534: [ParNew: 586848K->64791K(613440K), 0.0227383 secs] 592307K->70250K(2029056K), 0.0228077 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:34.579+0200: 15.604: [GC (Allocation Failure) 2020-09-29T18:31:34.579+0200: 15.604: [ParNew: 610135K->52389K(613440K), 0.0214663 secs] 615594K->57848K(2029056K), 0.0215473 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:34.651+0200: 15.676: [GC (Allocation Failure) 2020-09-29T18:31:34.651+0200: 15.676: [ParNew: 597733K->44585K(613440K), 0.0157266 secs] 603192K->50044K(2029056K), 0.0158040 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:34.715+0200: 15.740: [GC (Allocation Failure) 2020-09-29T18:31:34.715+0200: 15.740: [ParNew: 589929K->47109K(613440K), 0.0197441 secs] 595388K->52568K(2029056K), 0.0197993 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:34.782+0200: 15.807: [GC (Allocation Failure) 2020-09-29T18:31:34.782+0200: 15.807: [ParNew: 592453K->44501K(613440K), 0.0143364 secs] 597912K->49960K(2029056K), 0.0144119 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:34.846+0200: 15.871: [GC (Allocation Failure) 2020-09-29T18:31:34.846+0200: 15.871: [ParNew: 589845K->38192K(613440K), 0.0180705 secs] 595304K->43651K(2029056K), 0.0181290 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:34.917+0200: 15.942: [GC (Allocation Failure) 2020-09-29T18:31:34.917+0200: 15.942: [ParNew: 583536K->34018K(613440K), 0.0119681 secs] 588995K->39477K(2029056K), 0.0120611 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:34.979+0200: 16.004: [GC (Allocation Failure) 2020-09-29T18:31:34.979+0200: 16.004: [ParNew: 579362K->54646K(613440K), 0.0227965 secs] 584821K->60105K(2029056K), 0.0228808 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:35.050+0200: 16.075: [GC (Allocation Failure) 2020-09-29T18:31:35.050+0200: 16.075: [ParNew: 599990K->43459K(613440K), 0.0156569 secs] 605449K->48918K(2029056K), 0.0157128 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:35.116+0200: 16.141: [GC (Allocation Failure) 2020-09-29T18:31:35.116+0200: 16.141: [ParNew: 588803K->56405K(613440K), 0.0202531 secs] 594262K->61864K(2029056K), 0.0203227 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:35.183+0200: 16.208: [GC (Allocation Failure) 2020-09-29T18:31:35.183+0200: 16.208: [ParNew: 601749K->42420K(613440K), 0.0161209 secs] 607208K->47879K(2029056K), 0.0161821 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:35.248+0200: 16.273: [GC (Allocation Failure) 2020-09-29T18:31:35.248+0200: 16.273: [ParNew: 587764K->23085K(613440K), 0.0143678 secs] 593223K->28544K(2029056K), 0.0144535 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:35.313+0200: 16.338: [GC (Allocation Failure) 2020-09-29T18:31:35.313+0200: 16.338: [ParNew: 568429K->43745K(613440K), 0.0184548 secs] 573888K->49204K(2029056K), 0.0185230 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:35.383+0200: 16.408: [GC (Allocation Failure) 2020-09-29T18:31:35.383+0200: 16.408: [ParNew: 589089K->34715K(613440K), 0.0175919 secs] 594548K->40174K(2029056K), 0.0176870 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:35.454+0200: 16.479: [GC (Allocation Failure) 2020-09-29T18:31:35.454+0200: 16.479: [ParNew: 580059K->33059K(613440K), 0.0134365 secs] 585518K->38518K(2029056K), 0.0135076 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:35.522+0200: 16.547: [GC (Allocation Failure) 2020-09-29T18:31:35.522+0200: 16.548: [ParNew: 578403K->32408K(613440K), 0.0132811 secs] 583862K->37867K(2029056K), 0.0133534 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:35.586+0200: 16.611: [GC (Allocation Failure) 2020-09-29T18:31:35.586+0200: 16.612: [ParNew: 577752K->41658K(613440K), 0.0192368 secs] 583211K->47117K(2029056K), 0.0193176 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:35.657+0200: 16.682: [GC (Allocation Failure) 2020-09-29T18:31:35.657+0200: 16.682: [ParNew: 587002K->47805K(613440K), 0.0186390 secs] 592461K->53264K(2029056K), 0.0186974 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:35.726+0200: 16.751: [GC (Allocation Failure) 2020-09-29T18:31:35.727+0200: 16.752: [ParNew: 593149K->36188K(613440K), 0.0215234 secs] 598608K->41647K(2029056K), 0.0224194 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:35.805+0200: 16.830: [GC (Allocation Failure) 2020-09-29T18:31:35.805+0200: 16.830: [ParNew: 581532K->34079K(613440K), 0.0184495 secs] 586991K->39538K(2029056K), 0.0185186 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:35.883+0200: 16.908: [GC (Allocation Failure) 2020-09-29T18:31:35.883+0200: 16.908: [ParNew: 579423K->53094K(613440K), 0.0242750 secs] 584882K->58553K(2029056K), 0.0243495 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:35.956+0200: 16.981: [GC (Allocation Failure) 2020-09-29T18:31:35.956+0200: 16.981: [ParNew: 598438K->39313K(613440K), 0.0230585 secs] 603897K->44772K(2029056K), 0.0231443 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:36.035+0200: 17.060: [GC (Allocation Failure) 2020-09-29T18:31:36.035+0200: 17.060: [ParNew: 584657K->41474K(613440K), 0.0226793 secs] 590116K->46933K(2029056K), 0.0227504 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:36.116+0200: 17.141: [GC (Allocation Failure) 2020-09-29T18:31:36.116+0200: 17.141: [ParNew: 586818K->32833K(613440K), 0.0150420 secs] 592277K->38292K(2029056K), 0.0151062 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:36.188+0200: 17.214: [GC (Allocation Failure) 2020-09-29T18:31:36.189+0200: 17.214: [ParNew: 578177K->45988K(613440K), 0.0272046 secs] 583636K->51447K(2029056K), 0.0272812 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:36.264+0200: 17.289: [GC (Allocation Failure) 2020-09-29T18:31:36.264+0200: 17.289: [ParNew: 591332K->38700K(613440K), 0.0190022 secs] 596791K->44160K(2029056K), 0.0190697 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:36.334+0200: 17.358: [GC (Allocation Failure) 2020-09-29T18:31:36.334+0200: 17.359: [ParNew: 584044K->52394K(613440K), 0.0249401 secs] 589504K->57853K(2029056K), 0.0250175 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:36.412+0200: 17.437: [GC (Allocation Failure) 2020-09-29T18:31:36.412+0200: 17.437: [ParNew: 597738K->38654K(613440K), 0.0182198 secs] 603197K->44113K(2029056K), 0.0182984 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:36.488+0200: 17.513: [GC (Allocation Failure) 2020-09-29T18:31:36.488+0200: 17.513: [ParNew: 583998K->40052K(613440K), 0.0224940 secs] 589457K->45511K(2029056K), 0.0225650 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:36.561+0200: 17.585: [GC (Allocation Failure) 2020-09-29T18:31:36.561+0200: 17.585: [ParNew: 585396K->48367K(613440K), 0.0232323 secs] 590855K->53826K(2029056K), 0.0233090 secs] [Times: user=0.22 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:36.635+0200: 17.660: [GC (Allocation Failure) 2020-09-29T18:31:36.635+0200: 17.660: [ParNew: 593711K->33680K(613440K), 0.0201775 secs] 599170K->39139K(2029056K), 0.0202655 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:36.707+0200: 17.732: [GC (Allocation Failure) 2020-09-29T18:31:36.707+0200: 17.732: [ParNew: 579024K->55320K(613440K), 0.0258269 secs] 584483K->60779K(2029056K), 0.0258968 secs] [Times: user=0.14 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:36.782+0200: 17.807: [GC (Allocation Failure) 2020-09-29T18:31:36.783+0200: 17.807: [ParNew: 600664K->40261K(613440K), 0.0181588 secs] 606123K->45720K(2029056K), 0.0182442 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:36.855+0200: 17.879: [GC (Allocation Failure) 2020-09-29T18:31:36.855+0200: 17.879: [ParNew: 585605K->54776K(613440K), 0.0306867 secs] 591064K->60236K(2029056K), 0.0307601 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:36.934+0200: 17.959: [GC (Allocation Failure) 2020-09-29T18:31:36.934+0200: 17.959: [ParNew: 600120K->44658K(613440K), 0.0150506 secs] 605580K->50117K(2029056K), 0.0151143 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:37.015+0200: 18.040: [GC (Allocation Failure) 2020-09-29T18:31:37.015+0200: 18.040: [ParNew: 590002K->45365K(613440K), 0.0224466 secs] 595461K->50824K(2029056K), 0.0225296 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:37.088+0200: 18.113: [GC (Allocation Failure) 2020-09-29T18:31:37.088+0200: 18.113: [ParNew: 590709K->46871K(613440K), 0.0227455 secs] 596168K->52330K(2029056K), 0.0228096 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:37.160+0200: 18.184: [GC (Allocation Failure) 2020-09-29T18:31:37.160+0200: 18.184: [ParNew: 592215K->36941K(613440K), 0.0195397 secs] 597674K->42400K(2029056K), 0.0196109 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:37.240+0200: 18.265: [GC (Allocation Failure) 2020-09-29T18:31:37.240+0200: 18.265: [ParNew: 582285K->54546K(613440K), 0.0253990 secs] 587744K->60005K(2029056K), 0.0254714 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:37.313+0200: 18.337: [GC (Allocation Failure) 2020-09-29T18:31:37.313+0200: 18.337: [ParNew: 599890K->42177K(613440K), 0.0236788 secs] 605349K->47636K(2029056K), 0.0237467 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:37.384+0200: 18.408: [GC (Allocation Failure) 2020-09-29T18:31:37.384+0200: 18.408: [ParNew: 587521K->66752K(613440K), 0.0296667 secs] 592980K->72211K(2029056K), 0.0297588 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:37.464+0200: 18.488: [GC (Allocation Failure) 2020-09-29T18:31:37.464+0200: 18.488: [ParNew: 612096K->44160K(613440K), 0.0141107 secs] 617555K->49619K(2029056K), 0.0141775 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:37.526+0200: 18.551: [GC (Allocation Failure) 2020-09-29T18:31:37.526+0200: 18.551: [ParNew: 589504K->35337K(613440K), 0.0195832 secs] 594963K->40796K(2029056K), 0.0196506 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:37.600+0200: 18.625: [GC (Allocation Failure) 2020-09-29T18:31:37.600+0200: 18.625: [ParNew: 580681K->48182K(613440K), 0.0261332 secs] 586140K->53641K(2029056K), 0.0261992 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:37.678+0200: 18.703: [GC (Allocation Failure) 2020-09-29T18:31:37.678+0200: 18.703: [ParNew: 593526K->42782K(613440K), 0.0192563 secs] 598985K->48241K(2029056K), 0.0193364 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:37.753+0200: 18.777: [GC (Allocation Failure) 2020-09-29T18:31:37.753+0200: 18.777: [ParNew: 588126K->38282K(613440K), 0.0185596 secs] 593585K->43741K(2029056K), 0.0186487 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:37.822+0200: 18.847: [GC (Allocation Failure) 2020-09-29T18:31:37.822+0200: 18.847: [ParNew: 583626K->41049K(613440K), 0.0232884 secs] 589085K->46508K(2029056K), 0.0233558 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:37.898+0200: 18.923: [GC (Allocation Failure) 2020-09-29T18:31:37.898+0200: 18.923: [ParNew: 586393K->54775K(613440K), 0.0224543 secs] 591852K->60234K(2029056K), 0.0225635 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:37.972+0200: 18.997: [GC (Allocation Failure) 2020-09-29T18:31:37.972+0200: 18.997: [ParNew: 600119K->56591K(613440K), 0.0237761 secs] 605578K->62050K(2029056K), 0.0238658 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:38.048+0200: 19.072: [GC (Allocation Failure) 2020-09-29T18:31:38.048+0200: 19.073: [ParNew: 601935K->23436K(613440K), 0.0144463 secs] 607394K->28895K(2029056K), 0.0145136 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:38.116+0200: 19.140: [GC (Allocation Failure) 2020-09-29T18:31:38.116+0200: 19.140: [ParNew: 568780K->40506K(613440K), 0.0206764 secs] 574239K->45965K(2029056K), 0.0207404 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:38.183+0200: 19.207: [GC (Allocation Failure) 2020-09-29T18:31:38.183+0200: 19.207: [ParNew: 585850K->27291K(613440K), 0.0189465 secs] 591309K->32750K(2029056K), 0.0190149 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:38.253+0200: 19.278: [GC (Allocation Failure) 2020-09-29T18:31:38.253+0200: 19.278: [ParNew: 572635K->30701K(613440K), 0.0152469 secs] 578094K->36160K(2029056K), 0.0153235 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:38.321+0200: 19.346: [GC (Allocation Failure) 2020-09-29T18:31:38.321+0200: 19.346: [ParNew: 576045K->25752K(613440K), 0.0149249 secs] 581504K->31211K(2029056K), 0.0149914 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:38.392+0200: 19.416: [GC (Allocation Failure) 2020-09-29T18:31:38.392+0200: 19.416: [ParNew: 571096K->39689K(613440K), 0.0214742 secs] 576555K->45148K(2029056K), 0.0215559 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:38.465+0200: 19.489: [GC (Allocation Failure) 2020-09-29T18:31:38.465+0200: 19.489: [ParNew: 585033K->58982K(613440K), 0.0281064 secs] 590492K->64441K(2029056K), 0.0281893 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:38.540+0200: 19.565: [GC (Allocation Failure) 2020-09-29T18:31:38.540+0200: 19.565: [ParNew: 604326K->41882K(613440K), 0.0207987 secs] 609785K->47341K(2029056K), 0.0208837 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:38.611+0200: 19.635: [GC (Allocation Failure) 2020-09-29T18:31:38.611+0200: 19.635: [ParNew: 587226K->55908K(613440K), 0.0267056 secs] 592685K->61367K(2029056K), 0.0267857 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:38.688+0200: 19.713: [GC (Allocation Failure) 2020-09-29T18:31:38.688+0200: 19.713: [ParNew: 601252K->44222K(613440K), 0.0167757 secs] 606711K->49681K(2029056K), 0.0168418 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:38.765+0200: 19.790: [GC (Allocation Failure) 2020-09-29T18:31:38.765+0200: 19.790: [ParNew: 589566K->27540K(613440K), 0.0162213 secs] 595025K->32999K(2029056K), 0.0163030 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:38.831+0200: 19.856: [GC (Allocation Failure) 2020-09-29T18:31:38.831+0200: 19.856: [ParNew: 572884K->46316K(613440K), 0.0221321 secs] 578343K->51775K(2029056K), 0.0221976 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:38.903+0200: 19.927: [GC (Allocation Failure) 2020-09-29T18:31:38.903+0200: 19.928: [ParNew: 591660K->58731K(613440K), 0.0293322 secs] 597119K->64190K(2029056K), 0.0293976 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:38.982+0200: 20.007: [GC (Allocation Failure) 2020-09-29T18:31:38.982+0200: 20.007: [ParNew: 604075K->68096K(613440K), 0.0368694 secs] 609534K->75954K(2029056K), 0.0369314 secs] [Times: user=0.23 sys=0.00, real=0.04 secs] 
2020-09-29T18:31:39.069+0200: 20.094: [GC (Allocation Failure) 2020-09-29T18:31:39.069+0200: 20.094: [ParNew: 613440K->63483K(613440K), 0.0271252 secs] 621298K->71341K(2029056K), 0.0272184 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:39.149+0200: 20.174: [GC (Allocation Failure) 2020-09-29T18:31:39.149+0200: 20.174: [ParNew: 608827K->43902K(613440K), 0.0172994 secs] 616685K->51761K(2029056K), 0.0173688 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:39.218+0200: 20.242: [GC (Allocation Failure) 2020-09-29T18:31:39.218+0200: 20.242: [ParNew: 589246K->23757K(613440K), 0.0169823 secs] 597105K->31615K(2029056K), 0.0170493 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:39.292+0200: 20.316: [GC (Allocation Failure) 2020-09-29T18:31:39.292+0200: 20.316: [ParNew: 569101K->28374K(613440K), 0.0138341 secs] 576959K->36232K(2029056K), 0.0138976 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:39.361+0200: 20.386: [GC (Allocation Failure) 2020-09-29T18:31:39.361+0200: 20.386: [ParNew: 573718K->36514K(613440K), 0.0203785 secs] 581576K->44372K(2029056K), 0.0204620 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:39.431+0200: 20.456: [GC (Allocation Failure) 2020-09-29T18:31:39.431+0200: 20.456: [ParNew: 581858K->53466K(613440K), 0.0278071 secs] 589716K->61324K(2029056K), 0.0278838 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:39.517+0200: 20.541: [GC (Allocation Failure) 2020-09-29T18:31:39.517+0200: 20.541: [ParNew: 598810K->43191K(613440K), 0.0182536 secs] 606668K->51049K(2029056K), 0.0183196 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:39.587+0200: 20.612: [GC (Allocation Failure) 2020-09-29T18:31:39.587+0200: 20.612: [ParNew: 588535K->63136K(613440K), 0.0322527 secs] 596393K->70994K(2029056K), 0.0323318 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:39.670+0200: 20.695: [GC (Allocation Failure) 2020-09-29T18:31:39.670+0200: 20.695: [ParNew: 608480K->42805K(613440K), 0.0172513 secs] 616338K->50664K(2029056K), 0.0173321 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:39.739+0200: 20.764: [GC (Allocation Failure) 2020-09-29T18:31:39.739+0200: 20.764: [ParNew: 588149K->39801K(613440K), 0.0228526 secs] 596008K->47660K(2029056K), 0.0229188 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:39.814+0200: 20.839: [GC (Allocation Failure) 2020-09-29T18:31:39.814+0200: 20.839: [ParNew: 585145K->36366K(613440K), 0.0210769 secs] 593004K->44224K(2029056K), 0.0211580 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:39.887+0200: 20.911: [GC (Allocation Failure) 2020-09-29T18:31:39.887+0200: 20.912: [ParNew: 581710K->36066K(613440K), 0.0195914 secs] 589568K->43924K(2029056K), 0.0196617 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
