Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9588156k free), swap 23213284k(9184772k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:17:51.068+0200: 3.349: [GC (Allocation Failure) 2020-09-29T18:17:51.068+0200: 3.349: [ParNew: 591926K->45237K(613440K), 0.0232761 secs] 596617K->49929K(2029056K), 0.0233667 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:51.140+0200: 3.421: [GC (Allocation Failure) 2020-09-29T18:17:51.140+0200: 3.421: [ParNew: 590581K->39730K(613440K), 0.0155376 secs] 595273K->44421K(2029056K), 0.0156020 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:51.212+0200: 3.493: [GC (Allocation Failure) 2020-09-29T18:17:51.212+0200: 3.493: [ParNew: 585074K->34941K(613440K), 0.0223176 secs] 589765K->39632K(2029056K), 0.0223946 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:51.281+0200: 3.562: [GC (Allocation Failure) 2020-09-29T18:17:51.281+0200: 3.562: [ParNew: 580285K->32635K(613440K), 0.0204764 secs] 584976K->37326K(2029056K), 0.0205452 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:51.356+0200: 3.638: [GC (Allocation Failure) 2020-09-29T18:17:51.356+0200: 3.638: [ParNew: 577979K->56723K(613440K), 0.0267147 secs] 582670K->61415K(2029056K), 0.0268157 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:51.432+0200: 3.714: [GC (Allocation Failure) 2020-09-29T18:17:51.432+0200: 3.714: [ParNew: 602067K->68096K(613440K), 0.0288914 secs] 606759K->72787K(2029056K), 0.0289717 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:51.515+0200: 3.796: [GC (Allocation Failure) 2020-09-29T18:17:51.515+0200: 3.796: [ParNew: 613440K->29062K(613440K), 0.0188249 secs] 618131K->33753K(2029056K), 0.0188960 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:51.588+0200: 3.870: [GC (Allocation Failure) 2020-09-29T18:17:51.588+0200: 3.870: [ParNew: 574406K->45203K(613440K), 0.0257191 secs] 579097K->49895K(2029056K), 0.0258128 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:51.666+0200: 3.947: [GC (Allocation Failure) 2020-09-29T18:17:51.666+0200: 3.947: [ParNew: 590547K->56483K(613440K), 0.0265480 secs] 595239K->61174K(2029056K), 0.0266181 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:51.742+0200: 4.023: [GC (Allocation Failure) 2020-09-29T18:17:51.742+0200: 4.023: [ParNew: 601827K->40100K(613440K), 0.0250859 secs] 606518K->44791K(2029056K), 0.0251559 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:51.815+0200: 4.096: [GC (Allocation Failure) 2020-09-29T18:17:51.815+0200: 4.096: [ParNew: 585444K->29545K(613440K), 0.0157253 secs] 590135K->34236K(2029056K), 0.0157943 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:51.891+0200: 4.172: [GC (Allocation Failure) 2020-09-29T18:17:51.891+0200: 4.172: [ParNew: 574889K->35503K(613440K), 0.0223916 secs] 579580K->40195K(2029056K), 0.0224696 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:51.960+0200: 4.241: [GC (Allocation Failure) 2020-09-29T18:17:51.960+0200: 4.241: [ParNew: 580847K->28905K(613440K), 0.0179056 secs] 585539K->33597K(2029056K), 0.0179751 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
